catalog_id,jurisdiction_id,source_name,source_type,source_class,official_url,endpoint_url,local_root_path,source_file,load_file_path,main_csv_path,main_geojson_path,metadata_path,audit_paths,dataset_group,crime_category_raw,row_count,date_min,date_max,date_field_used,coordinate_fields,mappable_count,mappable_percent,primary_source_key,occurrence_grouping_key,geography_fields,offence_category_fields,known_categories_json,missing_categories,privacy_level,scope_type,ingestion_status,public_display_status,ingestion_readiness_status,notes,risks
cat-0001,tps,TPS Open Data Bulk Download,csv,downloaded_report_archive,https://data.torontopolice.on.ca/,,data/raw/tps/_downloads/2026-06-30,2008_FIRS_-2679553021179060779.csv,data/raw/tps/_downloads/2026-06-30/2008_FIRS_-2679553021179060779.csv,data/raw/tps/_downloads/2026-06-30/2008_FIRS_-2679553021179060779.csv,,,,tps_aggregate,firs-2008,323457,,,,"LONG_WGS84,LAT_WGS84",0,0.0,EVENT_UNIQUE_ID|OBJECTID,EVENT_UNIQUE_ID,"DIVISION,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140","OFFENCE,CSI_CATEGORY,UCR_CODE",[],,exact_unknown,extract_only,ready_for_bronze_load,not_for_public_incident_map,catalog_verified,typed_layer=aggregate_metric_tables; publish_status=deferred; dataset_slug=firs-2008,
cat-0002,tps,TPS Open Data Bulk Download,csv,downloaded_report_archive,https://data.torontopolice.on.ca/,,data/raw/tps/_downloads/2026-06-30,2009_FIRS_-5907723437875695368.csv,data/raw/tps/_downloads/2026-06-30/2009_FIRS_-5907723437875695368.csv,data/raw/tps/_downloads/2026-06-30/2009_FIRS_-5907723437875695368.csv,,,,tps_aggregate,firs-2009,344981,,,,"LONG_WGS84,LAT_WGS84",0,0.0,EVENT_UNIQUE_ID|OBJECTID,EVENT_UNIQUE_ID,"DIVISION,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140","OFFENCE,CSI_CATEGORY,UCR_CODE",[],,exact_unknown,extract_only,ready_for_bronze_load,not_for_public_incident_map,catalog_verified,typed_layer=aggregate_metric_tables; publish_status=deferred; dataset_slug=firs-2009,
cat-0003,tps,TPS Open Data Bulk Download,csv,downloaded_report_archive,https://data.torontopolice.on.ca/,,data/raw/tps/_downloads/2026-06-30,2010_FIRS_-2517232609472490769.csv,data/raw/tps/_downloads/2026-06-30/2010_FIRS_-2517232609472490769.csv,data/raw/tps/_downloads/2026-06-30/2010_FIRS_-2517232609472490769.csv,,,,tps_aggregate,firs-2010,373297,,,,"LONG_WGS84,LAT_WGS84",0,0.0,EVENT_UNIQUE_ID|OBJECTID,EVENT_UNIQUE_ID,"DIVISION,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140","OFFENCE,CSI_CATEGORY,UCR_CODE",[],,exact_unknown,extract_only,ready_for_bronze_load,not_for_public_incident_map,catalog_verified,typed_layer=aggregate_metric_tables; publish_status=deferred; dataset_slug=firs-2010,
cat-0004,tps,TPS Open Data Bulk Download,csv,downloaded_report_archive,https://data.torontopolice.on.ca/,,data/raw/tps/_downloads/2026-06-30,2011_FIRS_-4422831101139071978.csv,data/raw/tps/_downloads/2026-06-30/2011_FIRS_-4422831101139071978.csv,data/raw/tps/_downloads/2026-06-30/2011_FIRS_-4422831101139071978.csv,,,,tps_aggregate,firs-2011,386315,,,,"LONG_WGS84,LAT_WGS84",0,0.0,EVENT_UNIQUE_ID|OBJECTID,EVENT_UNIQUE_ID,"DIVISION,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140","OFFENCE,CSI_CATEGORY,UCR_CODE",[],,exact_unknown,extract_only,ready_for_bronze_load,not_for_public_incident_map,catalog_verified,typed_layer=aggregate_metric_tables; publish_status=deferred; dataset_slug=firs-2011,
cat-0005,tps,TPS Open Data Bulk Download,csv,downloaded_report_archive,https://data.torontopolice.on.ca/,,data/raw/tps/_downloads/2026-06-30,2012_FIRS_7370968145260043353.csv,data/raw/tps/_downloads/2026-06-30/2012_FIRS_7370968145260043353.csv,data/raw/tps/_downloads/2026-06-30/2012_FIRS_7370968145260043353.csv,,,,tps_aggregate,firs-2012,404293,,,,"LONG_WGS84,LAT_WGS84",0,0.0,EVENT_UNIQUE_ID|OBJECTID,EVENT_UNIQUE_ID,"DIVISION,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140","OFFENCE,CSI_CATEGORY,UCR_CODE",[],,exact_unknown,extract_only,ready_for_bronze_load,not_for_public_incident_map,catalog_verified,typed_layer=aggregate_metric_tables; publish_status=deferred; dataset_slug=firs-2012,
cat-0006,tps,TPS Open Data Bulk Download,csv,downloaded_report_archive,https://data.torontopolice.on.ca/,,data/raw/tps/_downloads/2026-06-30,2013_FIRS_8501434035380412761.csv,data/raw/tps/_downloads/2026-06-30/2013_FIRS_8501434035380412761.csv,data/raw/tps/_downloads/2026-06-30/2013_FIRS_8501434035380412761.csv,,,,tps_aggregate,firs-2013,189564,,,,"LONG_WGS84,LAT_WGS84",0,0.0,EVENT_UNIQUE_ID|OBJECTID,EVENT_UNIQUE_ID,"DIVISION,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140","OFFENCE,CSI_CATEGORY,UCR_CODE",[],,exact_unknown,extract_only,ready_for_bronze_load,not_for_public_incident_map,catalog_verified,typed_layer=aggregate_metric_tables; publish_status=deferred; dataset_slug=firs-2013,
cat-0007,tps,TPS Open Data Bulk Download,csv,public_collision_records,https://data.torontopolice.on.ca/,,data/raw/tps/_downloads/2026-06-30,AUTOMOBILE_KSI_-3713167661214258977.csv,data/raw/tps/_downloads/2026-06-30/AUTOMOBILE_KSI_-3713167661214258977.csv,data/raw/tps/_downloads/2026-06-30/AUTOMOBILE_KSI_-3713167661214258977.csv,,,,tps_traffic_ksi,automobile-ksi,17230,2006-01-01,2023-12-29,DATE,"LONG_WGS84,LAT_WGS84",17230,100.0,EVENT_UNIQUE_ID|OBJECTID,EVENT_UNIQUE_ID,"DIVISION,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140","OFFENCE,CSI_CATEGORY,UCR_CODE",[],,public_exact_or_offset,extract_only,ready_for_bronze_load,deferred_review,catalog_verified,typed_layer=traffic_ksi_records; publish_status=deferred; dataset_slug=automobile-ksi,
cat-0008,tps,TPS Open Data Bulk Download,csv,downloaded_report_archive,https://data.torontopolice.on.ca/,,data/raw/tps/_downloads/2026-06-30,Administrative_(ASR_AD_TBL_001)_1478935144902378667.csv,data/raw/tps/_downloads/2026-06-30/Administrative_(ASR_AD_TBL_001)_1478935144902378667.csv,data/raw/tps/_downloads/2026-06-30/Administrative_(ASR_AD_TBL_001)_1478935144902378667.csv,,,,tps_aggregate,asr-administrative,416,,,,"LONG_WGS84,LAT_WGS84",0,0.0,EVENT_UNIQUE_ID|OBJECTID,EVENT_UNIQUE_ID,"DIVISION,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140","OFFENCE,CSI_CATEGORY,UCR_CODE",[],,exact_unknown,extract_only,ready_for_bronze_load,not_for_public_incident_map,catalog_verified,typed_layer=aggregate_metric_tables; publish_status=deferred; dataset_slug=asr-administrative,
cat-0009,tps,TPS Open Data Bulk Download,csv,downloaded_report_archive,https://data.torontopolice.on.ca/,,data/raw/tps/_downloads/2026-06-30,Arrested_and_Charged_Persons_(ASR_ENF_TBL_001)_548544473732615405.csv,data/raw/tps/_downloads/2026-06-30/Arrested_and_Charged_Persons_(ASR_ENF_TBL_001)_548544473732615405.csv,data/raw/tps/_downloads/2026-06-30/Arrested_and_Charged_Persons_(ASR_ENF_TBL_001)_548544473732615405.csv,,,,tps_aggregate,asr-arrested-and-charged-persons,163738,,,,"LONG_WGS84,LAT_WGS84",0,0.0,EVENT_UNIQUE_ID|OBJECTID,EVENT_UNIQUE_ID,"DIVISION,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140","OFFENCE,CSI_CATEGORY,UCR_CODE",[],,exact_unknown,extract_only,ready_for_bronze_load,not_for_public_incident_map,catalog_verified,typed_layer=aggregate_metric_tables; publish_status=deferred; dataset_slug=asr-arrested-and-charged-persons,
cat-0010,tps,TPS Open Data Bulk Download,csv,public_incident_records,https://data.torontopolice.on.ca/,,data/raw/tps/_downloads/2026-06-30,Assault_Open_Data_4176353985444773481.csv,data/raw/tps/_downloads/2026-06-30/Assault_Open_Data_4176353985444773481.csv,data/raw/tps/_downloads/2026-06-30/Assault_Open_Data_4176353985444773481.csv,,,,tps_major_crime_v1,assault-open-data,254378,1964-08-31,2026-03-30,OCC_DATE,"LONG_WGS84,LAT_WGS84",250253,98.4,EVENT_UNIQUE_ID|OBJECTID,EVENT_UNIQUE_ID,"DIVISION,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140","OFFENCE,CSI_CATEGORY,UCR_CODE","[{""name"":""Assault"",""count"":174832},{""name"":""Assault With Weapon"",""count"":43667},{""name"":""Assault Bodily Harm"",""count"":10904},{""name"":""Assault Peace Officer"",""count"":8322},{""name"":""Assault - Resist/ Prevent Seiz"",""count"":3866},{""name"":""Aggravated Assault"",""count"":3320},{""name"":""Discharge Firearm With Intent"",""count"":2816},{""name"":""Discharge Firearm - Recklessly"",""count"":1990},{""name"":""Pointing A Firearm"",""count"":1704},{""name"":""Assault Peace Officer Wpn/Cbh"",""count"":920},{""name"":""Administering Noxious Thing"",""count"":831},{""name"":""Assault - Force/Thrt/Impede"",""count"":527},{""name"":""Use Firearm / Immit Commit Off"",""count"":244},{""name"":""Crim Negligence Bodily Harm"",""count"":164},{""name"":""Disarming Peace/Public Officer"",""count"":158},{""name"":""Air Gun Or Pistol: Bodily Harm"",""count"":34},{""name"":""Aggravated Aslt Peace Officer"",""count"":32},{""name"":""Unlawfully Causing Bodily Harm"",""count"":21},{""name"":""Aggravated Assault Avails Pros"",""count"":21},{""name"":""Traps Likely Cause Bodily Harm"",""count"":2},{""name"":""Set/Place Trap/Intend Death/Bh"",""count"":2},{""name"":""Hoax Terrorism Causing Bodily"",""count"":1}]",,exact_unknown,processed_canonical,ready_for_bronze_load,published_v1,catalog_verified,typed_layer=public_incident_records; publish_status=v1_published; dataset_slug=assault-open-data,
