category_family,category_canonical,source_jurisdiction,source_label,source_count,coverage_matrix_status,publish_tier,mapping_confidence,notes
assault,assault,tps,254378,,tps_v1_processed:published,v1_published,high,From coverage matrix column tps_v1_processed
assault,assault,tps,assault-open-data,,tps_raw_corpus:published,v1_published,high,From coverage matrix column tps_raw_corpus
assault,assault,peel-prp,21250,,peel-prp:published,v1_published,high,From coverage matrix column peel-prp
assault,assault,yrp,9330,,yrp:published,v1_published,high,From coverage matrix column yrp
auto_vehicle_theft,auto vehicle theft,tps,78714,,tps_v1_processed:published,v1_published,high,From coverage matrix column tps_v1_processed
auto_vehicle_theft,auto vehicle theft,peel-prp,17728,,peel-prp:published,v1_published,high,From coverage matrix column peel-prp
auto_vehicle_theft,auto vehicle theft,yrp,2711,,yrp:published,v1_published,high,From coverage matrix column yrp
theft_from_vehicle,theft from vehicle,tps,106574,,tps_v1_processed:published,v1_published,high,From coverage matrix column tps_v1_processed
break_and_enter,break and enter,tps,84689,,tps_v1_processed:published,v1_published,high,From coverage matrix column tps_v1_processed
break_and_enter,break and enter,peel-prp,7666,,peel-prp:published,v1_published,high,From coverage matrix column peel-prp
break_and_enter,break and enter,yrp,3057,,yrp:published,v1_published,high,From coverage matrix column yrp
robbery,robbery,tps,40248,,tps_v1_processed:published,v1_published,high,From coverage matrix column tps_v1_processed
robbery,robbery,peel-prp,2512,,peel-prp:published,v1_published,high,From coverage matrix column peel-prp
robbery,robbery,yrp,660,,yrp:published,v1_published,high,From coverage matrix column yrp
homicide,homicide,tps,homicides-open-data,,tps_raw_corpus:raw_available_review_required,v1_deferred,medium,From coverage matrix column tps_raw_corpus
homicide,homicide,peel-prp,58,,peel-prp:published,v1_published,high,From coverage matrix column peel-prp
homicide,homicide,yrp,12,,yrp:published,v1_published,high,From coverage matrix column yrp
shooting_firearm,shooting firearm,tps,shooting-and-firearm-discharges-open-data,,tps_raw_corpus:raw_available_review_required,v1_deferred,medium,From coverage matrix column tps_raw_corpus
shooting_firearm,shooting firearm,peel-prp,embedded_in_robbery_labels_only,,peel-prp:embedded_in_robbery_labels_only,v1_deferred,medium,From coverage matrix column peel-prp
shooting_firearm,shooting firearm,yrp,118_flag,,yrp:published,v1_published,high,From coverage matrix column yrp
sexual_assault,sexual assault,peel-prp,not_found_in_public_layer,,peel-prp:not_found_in_public_layer,reference_only,medium,From coverage matrix column peel-prp
sexual_assault,sexual assault,yrp,733,,yrp:published,v1_published,high,From coverage matrix column yrp
hate_crime,hate crime,tps,hate-crime-open-data,,tps_raw_corpus:raw_available_review_required,v1_deferred,medium,From coverage matrix column tps_raw_corpus
hate_crime,hate crime,peel-prp,8,,peel-prp:hate_motivated_mischief_only,v1_deferred,medium,From coverage matrix column peel-prp
hate_crime,hate crime,yrp,356_flag,,yrp:published,v1_published,high,From coverage matrix column yrp
arson,arson,peel-prp,not_found_in_public_layer,,peel-prp:not_found_in_public_layer,reference_only,medium,From coverage matrix column peel-prp
arson,arson,yrp,151,,yrp:published,v1_published,high,From coverage matrix column yrp
drugs,drugs,peel-prp,4302,,peel-prp:published,v1_published,high,From coverage matrix column peel-prp
drugs,drugs,yrp,1509,,yrp:published,v1_published,high,From coverage matrix column yrp
fraud,fraud,tps,not_in_v1_major_crime_family,,tps_raw_corpus:not_in_v1_major_crime_family,v1_deferred,medium,From coverage matrix column tps_raw_corpus
fraud,fraud,peel-prp,14937,,peel-prp:published,v1_published,high,From coverage matrix column peel-prp
fraud,fraud,yrp,9779,,yrp:published,v1_published,high,From coverage matrix column yrp
traffic_collisions,traffic collisions,tps,traffic-collisions-open-data,,tps_raw_corpus:published,v1_published,high,From coverage matrix column tps_raw_corpus
assault,Assault,tps,Assault,174832,catalog_known_categories_json,v1_published,high,cat-0010 tps_major_crime_v1
assault,Assault With Weapon,tps,Assault With Weapon,43667,catalog_known_categories_json,v1_published,high,cat-0010 tps_major_crime_v1
assault,Assault Bodily Harm,tps,Assault Bodily Harm,10904,catalog_known_categories_json,v1_published,high,cat-0010 tps_major_crime_v1
assault,Assault Peace Officer,tps,Assault Peace Officer,8322,catalog_known_categories_json,v1_published,high,cat-0010 tps_major_crime_v1
assault,Assault - Resist/ Prevent Seiz,tps,Assault - Resist/ Prevent Seiz,3866,catalog_known_categories_json,v1_published,high,cat-0010 tps_major_crime_v1
assault,Aggravated Assault,tps,Aggravated Assault,3320,catalog_known_categories_json,v1_published,high,cat-0010 tps_major_crime_v1
assault,Discharge Firearm With Intent,tps,Discharge Firearm With Intent,2816,catalog_known_categories_json,v1_published,high,cat-0010 tps_major_crime_v1
assault,Discharge Firearm - Recklessly,tps,Discharge Firearm - Recklessly,1990,catalog_known_categories_json,v1_published,high,cat-0010 tps_major_crime_v1
assault,Pointing A Firearm,tps,Pointing A Firearm,1704,catalog_known_categories_json,v1_published,high,cat-0010 tps_major_crime_v1
assault,Assault Peace Officer Wpn/Cbh,tps,Assault Peace Officer Wpn/Cbh,920,catalog_known_categories_json,v1_published,high,cat-0010 tps_major_crime_v1
assault,Administering Noxious Thing,tps,Administering Noxious Thing,831,catalog_known_categories_json,v1_published,high,cat-0010 tps_major_crime_v1
assault,Assault - Force/Thrt/Impede,tps,Assault - Force/Thrt/Impede,527,catalog_known_categories_json,v1_published,high,cat-0010 tps_major_crime_v1
assault,Use Firearm / Immit Commit Off,tps,Use Firearm / Immit Commit Off,244,catalog_known_categories_json,v1_published,high,cat-0010 tps_major_crime_v1
assault,Crim Negligence Bodily Harm,tps,Crim Negligence Bodily Harm,164,catalog_known_categories_json,v1_published,high,cat-0010 tps_major_crime_v1
assault,Disarming Peace/Public Officer,tps,Disarming Peace/Public Officer,158,catalog_known_categories_json,v1_published,high,cat-0010 tps_major_crime_v1
assault,Air Gun Or Pistol: Bodily Harm,tps,Air Gun Or Pistol: Bodily Harm,34,catalog_known_categories_json,v1_published,high,cat-0010 tps_major_crime_v1
assault,Aggravated Aslt Peace Officer,tps,Aggravated Aslt Peace Officer,32,catalog_known_categories_json,v1_published,high,cat-0010 tps_major_crime_v1
assault,Unlawfully Causing Bodily Harm,tps,Unlawfully Causing Bodily Harm,21,catalog_known_categories_json,v1_published,high,cat-0010 tps_major_crime_v1
assault,Aggravated Assault Avails Pros,tps,Aggravated Assault Avails Pros,21,catalog_known_categories_json,v1_published,high,cat-0010 tps_major_crime_v1
assault,Traps Likely Cause Bodily Harm,tps,Traps Likely Cause Bodily Harm,2,catalog_known_categories_json,v1_published,high,cat-0010 tps_major_crime_v1
assault,Set/Place Trap/Intend Death/Bh,tps,Set/Place Trap/Intend Death/Bh,2,catalog_known_categories_json,v1_published,high,cat-0010 tps_major_crime_v1
assault,Hoax Terrorism Causing Bodily,tps,Hoax Terrorism Causing Bodily,1,catalog_known_categories_json,v1_published,high,cat-0010 tps_major_crime_v1
auto_theft,Theft Of Motor Vehicle,tps,Theft Of Motor Vehicle,78714,catalog_known_categories_json,v1_published,high,cat-0011 tps_major_crime_v1
break_and_enter,B&E,tps,B&E,70875,catalog_known_categories_json,v1_published,high,cat-0013 tps_major_crime_v1
