qa_section,jurisdiction_id,year,category_family,metric,value,flag,notes
row_counts,tps,,,row_count,581393,ok,expected=581393
row_counts,peel-prp,,,row_count,82401,ok,expected=82401
row_counts,yrp,,,row_count,67153,ok,expected=67153
row_counts,durham-drps,,,row_count,7819,ok,expected=7819
row_counts,halton-hrps,,,row_count,20252,ok,expected=20252
row_counts,hamilton-hps,,,row_count,21367,ok,expected=21367
row_counts,ALL,,,row_count,780385,ok,expected=780385
year_coverage,durham-drps,2008,assault,row_count,1,,
year_coverage,durham-drps,2009,assault,row_count,5,,
year_coverage,durham-drps,2013,assault,row_count,1,,
year_coverage,durham-drps,2015,assault,row_count,1,,
year_coverage,durham-drps,2016,assault,row_count,1,,
year_coverage,durham-drps,2017,assault,row_count,4,,
year_coverage,durham-drps,2018,assault,row_count,4,,
year_coverage,durham-drps,2019,assault,row_count,5,,
year_coverage,durham-drps,2020,assault,row_count,3,,
year_coverage,durham-drps,2021,assault,row_count,7,,
year_coverage,durham-drps,2022,assault,row_count,11,,
year_coverage,durham-drps,2022,auto_vehicle_theft,row_count,1,,
year_coverage,durham-drps,2023,assault,row_count,24,,
year_coverage,durham-drps,2023,auto_vehicle_theft,row_count,1,,
year_coverage,durham-drps,2023,theft_from_vehicle,row_count,2,,
year_coverage,durham-drps,2024,assault,row_count,39,,
year_coverage,durham-drps,2024,auto_vehicle_theft,row_count,1,,
year_coverage,durham-drps,2024,other,row_count,1,,
year_coverage,durham-drps,2024,theft_from_vehicle,row_count,5,,
year_coverage,durham-drps,2025,assault,row_count,1696,,
year_coverage,durham-drps,2025,auto_vehicle_theft,row_count,679,,
year_coverage,durham-drps,2025,homicide,row_count,8,,
year_coverage,durham-drps,2025,other,row_count,1069,,
year_coverage,durham-drps,2025,robbery,row_count,141,,
year_coverage,durham-drps,2025,shooting_firearm,row_count,32,,
year_coverage,durham-drps,2025,theft_from_vehicle,row_count,798,,
year_coverage,durham-drps,2026,assault,row_count,1300,,
year_coverage,durham-drps,2026,auto_vehicle_theft,row_count,482,,
year_coverage,durham-drps,2026,homicide,row_count,5,,
year_coverage,durham-drps,2026,other,row_count,757,,
year_coverage,durham-drps,2026,robbery,row_count,126,,
year_coverage,durham-drps,2026,shooting_firearm,row_count,16,,
year_coverage,durham-drps,2026,theft_from_vehicle,row_count,592,,
year_coverage,halton-hrps,2025,arson,row_count,27,,
year_coverage,halton-hrps,2025,other,row_count,9869,,
year_coverage,halton-hrps,2025,robbery,row_count,64,,
year_coverage,halton-hrps,2026,arson,row_count,21,,
year_coverage,halton-hrps,2026,other,row_count,10180,,
year_coverage,halton-hrps,2026,robbery,row_count,91,,
year_coverage,hamilton-hps,2021,auto_vehicle_theft,row_count,415,,
year_coverage,hamilton-hps,2021,homicide,row_count,5,,
year_coverage,hamilton-hps,2021,other,row_count,1090,,
year_coverage,hamilton-hps,2021,robbery,row_count,40,,
year_coverage,hamilton-hps,2022,auto_vehicle_theft,row_count,1276,,
year_coverage,hamilton-hps,2022,homicide,row_count,4,,
year_coverage,hamilton-hps,2022,other,row_count,3457,,
year_coverage,hamilton-hps,2022,robbery,row_count,126,,
year_coverage,hamilton-hps,2023,auto_vehicle_theft,row_count,1343,,
year_coverage,hamilton-hps,2023,homicide,row_count,7,,
year_coverage,hamilton-hps,2023,other,row_count,3632,,
year_coverage,hamilton-hps,2023,robbery,row_count,131,,
year_coverage,hamilton-hps,2024,auto_vehicle_theft,row_count,1482,,
year_coverage,hamilton-hps,2024,homicide,row_count,9,,
year_coverage,hamilton-hps,2024,other,row_count,2824,,
year_coverage,hamilton-hps,2024,robbery,row_count,122,,
year_coverage,hamilton-hps,2025,auto_vehicle_theft,row_count,1266,,
year_coverage,hamilton-hps,2025,homicide,row_count,6,,
year_coverage,hamilton-hps,2025,other,row_count,2597,,
year_coverage,hamilton-hps,2025,robbery,row_count,71,,
year_coverage,hamilton-hps,2026,auto_vehicle_theft,row_count,499,,
year_coverage,hamilton-hps,2026,homicide,row_count,2,,
year_coverage,hamilton-hps,2026,other,row_count,930,,
year_coverage,hamilton-hps,2026,robbery,row_count,33,,
year_coverage,peel-prp,2023,assault,row_count,3467,,
year_coverage,peel-prp,2023,auto_vehicle_theft,row_count,3873,,
year_coverage,peel-prp,2023,break_and_enter,row_count,1516,,
year_coverage,peel-prp,2023,drugs,row_count,435,,
year_coverage,peel-prp,2023,fraud,row_count,2535,,
year_coverage,peel-prp,2023,homicide,row_count,13,,
year_coverage,peel-prp,2023,other,row_count,2162,,
year_coverage,peel-prp,2023,robbery,row_count,435,,
year_coverage,peel-prp,2023,theft_from_vehicle,row_count,185,,
year_coverage,peel-prp,2024,assault,row_count,7483,,
year_coverage,peel-prp,2024,auto_vehicle_theft,row_count,6751,,
year_coverage,peel-prp,2024,break_and_enter,row_count,2611,,
year_coverage,peel-prp,2024,drugs,row_count,922,,
year_coverage,peel-prp,2024,fraud,row_count,5106,,
year_coverage,peel-prp,2024,homicide,row_count,20,,
year_coverage,peel-prp,2024,other,row_count,4687,,
year_coverage,peel-prp,2024,robbery,row_count,996,,
year_coverage,peel-prp,2024,theft_from_vehicle,row_count,403,,
year_coverage,peel-prp,2025,assault,row_count,7216,,
year_coverage,peel-prp,2025,auto_vehicle_theft,row_count,4932,,
year_coverage,peel-prp,2025,break_and_enter,row_count,2572,,
year_coverage,peel-prp,2025,drugs,row_count,1045,,
year_coverage,peel-prp,2025,fraud,row_count,5255,,
year_coverage,peel-prp,2025,homicide,row_count,16,,
year_coverage,peel-prp,2025,other,row_count,4631,,
year_coverage,peel-prp,2025,robbery,row_count,821,,
year_coverage,peel-prp,2025,theft_from_vehicle,row_count,450,,
year_coverage,peel-prp,2026,assault,row_count,3084,,
year_coverage,peel-prp,2026,auto_vehicle_theft,row_count,2172,,
year_coverage,peel-prp,2026,break_and_enter,row_count,967,,
year_coverage,peel-prp,2026,drugs,row_count,643,,
year_coverage,peel-prp,2026,fraud,row_count,2041,,
year_coverage,peel-prp,2026,homicide,row_count,9,,
year_coverage,peel-prp,2026,other,row_count,2468,,
year_coverage,peel-prp,2026,robbery,row_count,260,,
year_coverage,peel-prp,2026,theft_from_vehicle,row_count,219,,
year_coverage,tps,2000,assault,row_count,26,,
year_coverage,tps,2000,auto_vehicle_theft,row_count,2,,
year_coverage,tps,2000,other,row_count,4,,
year_coverage,tps,2000,theft_from_vehicle,row_count,3,,
year_coverage,tps,2001,assault,row_count,21,,
year_coverage,tps,2001,auto_vehicle_theft,row_count,2,,
year_coverage,tps,2001,break_and_enter,row_count,1,,
year_coverage,tps,2001,theft_from_vehicle,row_count,1,,
year_coverage,tps,2002,assault,row_count,20,,
year_coverage,tps,2002,break_and_enter,row_count,2,,
year_coverage,tps,2002,other,row_count,3,,
year_coverage,tps,2002,theft_from_vehicle,row_count,4,,
year_coverage,tps,2003,assault,row_count,21,,
year_coverage,tps,2003,theft_from_vehicle,row_count,5,,
year_coverage,tps,2004,assault,row_count,38,,
year_coverage,tps,2004,auto_vehicle_theft,row_count,1,,
year_coverage,tps,2004,other,row_count,2,,
year_coverage,tps,2004,robbery,row_count,3,,
year_coverage,tps,2004,theft_from_vehicle,row_count,8,,
year_coverage,tps,2005,assault,row_count,43,,
year_coverage,tps,2005,break_and_enter,row_count,2,,
year_coverage,tps,2005,other,row_count,2,,
year_coverage,tps,2006,assault,row_count,26,,
year_coverage,tps,2006,other,row_count,1,,
year_coverage,tps,2006,robbery,row_count,1,,
year_coverage,tps,2006,theft_from_vehicle,row_count,1,,
year_coverage,tps,2007,assault,row_count,38,,
year_coverage,tps,2007,other,row_count,4,,
year_coverage,tps,2007,theft_from_vehicle,row_count,3,,
year_coverage,tps,2008,assault,row_count,52,,
year_coverage,tps,2008,auto_vehicle_theft,row_count,3,,
year_coverage,tps,2008,other,row_count,5,,
year_coverage,tps,2008,robbery,row_count,1,,
year_coverage,tps,2008,theft_from_vehicle,row_count,12,,
year_coverage,tps,2009,assault,row_count,87,,
year_coverage,tps,2009,auto_vehicle_theft,row_count,1,,
year_coverage,tps,2009,break_and_enter,row_count,1,,
year_coverage,tps,2009,other,row_count,8,,
year_coverage,tps,2009,theft_from_vehicle,row_count,10,,
year_coverage,tps,2010,assault,row_count,114,,
year_coverage,tps,2010,auto_vehicle_theft,row_count,4,,
year_coverage,tps,2010,break_and_enter,row_count,5,,
year_coverage,tps,2010,other,row_count,6,,
year_coverage,tps,2010,theft_from_vehicle,row_count,9,,
year_coverage,tps,2011,assault,row_count,141,,
year_coverage,tps,2011,auto_vehicle_theft,row_count,5,,
year_coverage,tps,2011,break_and_enter,row_count,4,,
year_coverage,tps,2011,other,row_count,13,,
year_coverage,tps,2011,theft_from_vehicle,row_count,15,,
year_coverage,tps,2012,assault,row_count,205,,
year_coverage,tps,2012,auto_vehicle_theft,row_count,4,,
year_coverage,tps,2012,break_and_enter,row_count,5,,
year_coverage,tps,2012,other,row_count,13,,
year_coverage,tps,2012,robbery,row_count,1,,
year_coverage,tps,2012,theft_from_vehicle,row_count,26,,
year_coverage,tps,2013,assault,row_count,434,,
year_coverage,tps,2013,auto_vehicle_theft,row_count,35,,
year_coverage,tps,2013,break_and_enter,row_count,76,,
year_coverage,tps,2013,other,row_count,74,,
year_coverage,tps,2013,robbery,row_count,39,,
year_coverage,tps,2013,theft_from_vehicle,row_count,132,,
year_coverage,tps,2014,assault,row_count,16889,,
year_coverage,tps,2014,auto_vehicle_theft,row_count,3717,,
year_coverage,tps,2014,break_and_enter,row_count,7216,,
year_coverage,tps,2014,other,row_count,1015,,
year_coverage,tps,2014,robbery,row_count,3757,,
year_coverage,tps,2014,theft_from_vehicle,row_count,9718,,
year_coverage,tps,2015,assault,row_count,18184,,
year_coverage,tps,2015,auto_vehicle_theft,row_count,3433,,
year_coverage,tps,2015,break_and_enter,row_count,6938,,
year_coverage,tps,2015,other,row_count,1044,,
year_coverage,tps,2015,robbery,row_count,3534,,
year_coverage,tps,2015,theft_from_vehicle,row_count,8801,,
year_coverage,tps,2016,assault,row_count,19106,,
year_coverage,tps,2016,auto_vehicle_theft,row_count,3477,,
year_coverage,tps,2016,break_and_enter,row_count,6425,,
year_coverage,tps,2016,other,row_count,1046,,
year_coverage,tps,2016,robbery,row_count,3777,,
year_coverage,tps,2016,theft_from_vehicle,row_count,7749,,
year_coverage,tps,2017,assault,row_count,19731,,
year_coverage,tps,2017,auto_vehicle_theft,row_count,3772,,
year_coverage,tps,2017,break_and_enter,row_count,6932,,
year_coverage,tps,2017,other,row_count,1189,,
year_coverage,tps,2017,robbery,row_count,4097,,
year_coverage,tps,2017,theft_from_vehicle,row_count,8438,,
year_coverage,tps,2018,assault,row_count,20112,,
year_coverage,tps,2018,auto_vehicle_theft,row_count,4905,,
year_coverage,tps,2018,break_and_enter,row_count,7654,,
year_coverage,tps,2018,other,row_count,1290,,
year_coverage,tps,2018,robbery,row_count,3758,,
year_coverage,tps,2018,theft_from_vehicle,row_count,9131,,
year_coverage,tps,2019,assault,row_count,21160,,
year_coverage,tps,2019,auto_vehicle_theft,row_count,5396,,
year_coverage,tps,2019,break_and_enter,row_count,8573,,
year_coverage,tps,2019,other,row_count,1375,,
year_coverage,tps,2019,robbery,row_count,3724,,
year_coverage,tps,2019,theft_from_vehicle,row_count,9950,,
year_coverage,tps,2020,assault,row_count,18530,,
year_coverage,tps,2020,auto_vehicle_theft,row_count,5901,,
year_coverage,tps,2020,break_and_enter,row_count,6964,,
year_coverage,tps,2020,other,row_count,1213,,
year_coverage,tps,2020,robbery,row_count,2864,,
year_coverage,tps,2020,theft_from_vehicle,row_count,10276,,
year_coverage,tps,2021,assault,row_count,19257,,
year_coverage,tps,2021,auto_vehicle_theft,row_count,6705,,
