catalog_id,jurisdiction_id,dataset_group,source_class,bronze_table,canonical_column,source_column,transform_rule,silver_phase,notes
cat-0010,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__assault_open_data_4176353985444773481_cs,source_record_id,OBJECTID,parse_iso_date; coords_non_zero_mappable; preserve_all_columns_json,phase1,
cat-0010,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__assault_open_data_4176353985444773481_cs,occurrence_group_key,EVENT_UNIQUE_ID,preserve source duplicates,phase1,
cat-0010,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__assault_open_data_4176353985444773481_cs,event_unique_id,EVENT_UNIQUE_ID,store only; never dedupe in silver,phase1,
cat-0010,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__assault_open_data_4176353985444773481_cs,occ_date,OCC_DATE,parse to ISO date,phase1,
cat-0010,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__assault_open_data_4176353985444773481_cs,report_date,REPORT_DATE,parse when present,phase1,
cat-0010,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__assault_open_data_4176353985444773481_cs,lat,LAT_WGS84,REAL; invalid -> null,phase1,
cat-0010,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__assault_open_data_4176353985444773481_cs,lng,LONG_WGS84,REAL; invalid -> null,phase1,
cat-0010,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__assault_open_data_4176353985444773481_cs,offence_raw,OFFENCE,,phase1,
cat-0010,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__assault_open_data_4176353985444773481_cs,offence_secondary,CSI_CATEGORY,,phase1,
cat-0010,tps,tps_major_crime_v1,public_incident_records,bronze__tps__tps_major_crime_v1__assault_open_data_4176353985444773481_cs,division,DIVISION,,phase1,
