table_name,partition,row_count
silver_incidents,durham-drps,7819
silver_incidents,halton-hrps,20252
silver_incidents,hamilton-hps,21367
silver_incidents,peel-prp,82401
silver_incidents,tps,581393
silver_incidents,yrp,67153
silver_lineage,tps_processed_v1,581393
silver_lineage,peel_ecrimes_incidents,82401
silver_lineage,yrp_community_safety_incidents,67153
silver_lineage,durham_master,7819
silver_lineage,halton_crime_map_incidents,20252
silver_lineage,hamilton_communitycrimemap_hps_only,21367
silver_category_taxonomy,durham-drps,8
silver_category_taxonomy,halton-hrps,22
silver_category_taxonomy,hamilton-hps,34
silver_category_taxonomy,peel-prp,26
silver_category_taxonomy,tps,89
silver_category_taxonomy,yrp,97
silver_load_log,cat-0075,581393
silver_load_log,cat-0076,82401
silver_load_log,cat-0090,67153
silver_load_log,cat-0093,7819
silver_load_log,cat-0105,20252
silver_load_log,cat-0108,21367
